// Lectura generica
id,data
1,Producto A
2,Producto B
3,Producto C
4,Producto D
5,Producto E

// Lectura para personas
personaId,nombreCompleto,empleo
1,Juan Pérez,
2,Ana García,Diseñador
3,Luis López,Desarrollador
4,Marta Fernández,Analista
5,Carlos Gómez,Desarrollador
6,Elena Ruiz,Diseñador
7,Roberto Sánchez,Analista
8,Lucía Moreno,Gerente
9,Mario Ramírez,Gerente
10,Sofía Castro,Diseñador

//Lectura para escribir en api externa, ponemos solo el id que en el PersonaItemProcesor sera dejado a null, asi nos ahorramos generar la tabla Empleo del proyecto Api externa
personaId,nombreCompleto,empleo
99,Juano Pérez,4
